Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HLA ALICANTE,A. Jorda Rodriguez,Substitution In,(HLA ALICANTE) A. JORDA RODRIGUEZ: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,G. Jou Coll,Substitution In,(LEYMA CORUÑA) G. JOU COLL: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,C. De Souza Pacheco,Substitution In,(LEYMA CORUÑA) C. DE SOUZA PACHECO: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,HLA ALICANTE,K. Larsen,Substitution In,(HLA ALICANTE) K. LARSEN: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,S. Barro,Substitution In,(LEYMA CORUÑA) S. BARRO: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,P. Jorgensen,Substitution In,(LEYMA CORUÑA) P. JORGENSEN: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,HLA ALICANTE,M. Torres Cuevas,Substitution In,(HLA ALICANTE) M. TORRES CUEVAS: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,D. Radoncic,Substitution In,(LEYMA CORUÑA) D. RADONCIC: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,HLA ALICANTE,T. Richardson,Substitution In,(HLA ALICANTE) T. RICHARDSON: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,HLA ALICANTE,D. Geu,Substitution In,(HLA ALICANTE) D. GEU: Sustitución (Entra a pista),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:48,588,0,0,LEYMA CORUÑA,G. Jou Coll,Rebound,(LEYMA CORUÑA) G. JOU COLL: REBOTE (Rebotes: 1),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:48,588,0,0,HLA ALICANTE,T. Richardson,2PT Missed,(HLA ALICANTE) T. RICHARDSON: TIRO DE 2 FALLADO,A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:33,573,0,2,LEYMA CORUÑA,C. De Souza Pacheco,2PT Made,(LEYMA CORUÑA) C. DE SOUZA PACHECO: TIRO DE 2 ANOTADO (Puntos: 2),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:29,569,0,2,HLA ALICANTE,D. Geu,Rebound,(HLA ALICANTE) D. GEU: REBOTE (Rebotes: 1),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:29,569,0,2,LEYMA CORUÑA,C. De Souza Pacheco,FT Missed,(LEYMA CORUÑA) C. DE SOUZA PACHECO: TIRO DE 1 FALLADO,A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:29,569,0,2,HLA ALICANTE,M. Torres Cuevas,Foul,(HLA ALICANTE) M. TORRES CUEVAS: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 1,A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:17,557,3,2,HLA ALICANTE,D. Geu,3PT Made,(HLA ALICANTE) D. GEU: TIRO DE 3 ANOTADO (Puntos: 3),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,09:17,557,3,2,HLA ALICANTE,M. Torres Cuevas,Assist,(HLA ALICANTE) M. TORRES CUEVAS: ASISTENCIA (Asistencias: 1),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,08:56,536,3,4,LEYMA CORUÑA,P. Jorgensen,2PT Made,(LEYMA CORUÑA) P. JORGENSEN: TIRO DE 2 ANOTADO (Puntos: 2),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,08:30,510,3,4,LEYMA CORUÑA,G. Jou Coll,Rebound,(LEYMA CORUÑA) G. JOU COLL: REBOTE (Rebotes: 2),A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
1,08:30,510,3,4,HLA ALICANTE,K. Larsen,2PT Missed,(HLA ALICANTE) K. LARSEN: TIRO DE 2 FALLADO,A. Jorda Rodriguez,D. Geu,K. Larsen,M. Torres Cuevas,T. Richardson,C. De Souza Pacheco,D. Radoncic,G. Jou Coll,P. Jorgensen,S. Barro
