Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
FIBWI MALLORCA BASQUET PALMA ,0,0,A. Scariolo Ares,24:09,10,2,6,33.3,2,2,100.0,4,8,50.0,0,0,0.0,0,6,6,6,0,0,0,1,0,2,2,-3,18,1843906,https://imagenes.feb.es/foto.aspx?c=1843906,1449
FIBWI MALLORCA BASQUET PALMA ,1,0,L. Smith,16:34,5,2,4,50.0,0,0,0.0,2,4,50.0,1,1,100.0,0,2,2,0,0,1,1,2,0,4,1,2,4,2788739,https://imagenes.feb.es/foto.aspx?c=2788739,994
FIBWI MALLORCA BASQUET PALMA ,5,0,F. Gomez Martinez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235172,https://imagenes.feb.es/foto.aspx?c=2235172,0
FIBWI MALLORCA BASQUET PALMA ,6,1,J. Bocca,29:09,10,2,2,100.0,2,4,50.0,4,6,66.7,0,0,0.0,0,3,3,1,1,2,1,0,0,2,1,8,13,2821058,https://imagenes.feb.es/foto.aspx?c=2821058,1749
FIBWI MALLORCA BASQUET PALMA ,10,0,A. Bosch Domingo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597927,https://imagenes.feb.es/foto.aspx?c=1597927,0
FIBWI MALLORCA BASQUET PALMA ,13,0,O. Matulionis,22:49,6,0,0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,0,1,2,0,0,0,3,1,7,4,2027826,https://imagenes.feb.es/foto.aspx?c=2027826,1369
FIBWI MALLORCA BASQUET PALMA ,15,0,O. Siquier Costa,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008018,https://imagenes.feb.es/foto.aspx?c=2008018,0
FIBWI MALLORCA BASQUET PALMA ,23,1,J. Aramburu Lamy,31:12,4,0,0,0.0,1,4,25.0,1,4,25.0,1,4,25.0,0,2,2,1,0,3,2,0,0,4,2,-4,4,1509876,https://imagenes.feb.es/foto.aspx?c=1509876,1872
FIBWI MALLORCA BASQUET PALMA ,30,0,J. Martinez Cabezudo,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241485,https://imagenes.feb.es/foto.aspx?c=1241485,0
FIBWI MALLORCA BASQUET PALMA ,33,1,L. Bracey,35:15,24,5,11,45.5,3,5,60.0,8,16,50.0,5,6,83.3,1,1,2,1,2,1,0,1,0,2,7,6,22,2583212,https://imagenes.feb.es/foto.aspx?c=2583212,2115
FIBWI MALLORCA BASQUET PALMA ,44,1,B. Vazquez Arraiza,17:18,10,1,3,33.3,1,3,33.3,2,6,33.3,5,5,100.0,0,0,0,1,4,0,0,0,0,4,3,2,2,2783882,https://imagenes.feb.es/foto.aspx?c=2783882,1038
FIBWI MALLORCA BASQUET PALMA ,99,1,P. Bombino Parada,23:34,11,2,8,25.0,0,1,0.0,2,9,22.2,7,7,100.0,1,2,3,2,2,1,0,0,0,4,4,2,8,2819257,https://imagenes.feb.es/foto.aspx?c=2819257,1414
MOVISTAR ESTUDIANTES,1,0,A. González Pérez,02:49,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,2094445,https://imagenes.feb.es/foto.aspx?c=2094445,169
MOVISTAR ESTUDIANTES,6,1,L. Giovannetti,13:59,5,0,1,0.0,1,1,100.0,1,2,50.0,2,2,100.0,0,0,0,0,1,1,0,0,0,3,2,3,3,2433615,https://imagenes.feb.es/foto.aspx?c=2433615,839
MOVISTAR ESTUDIANTES,8,0,G. Filipovic,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524266,https://imagenes.feb.es/foto.aspx?c=2524266,0
MOVISTAR ESTUDIANTES,9,1,S. Salin,19:44,9,0,2,0.0,3,4,75.0,3,6,50.0,0,2,0.0,0,3,3,2,0,1,0,0,0,0,1,-2,11,2815072,https://imagenes.feb.es/foto.aspx?c=2815072,1184
MOVISTAR ESTUDIANTES,10,0,S. Garcia Calvo,17:25,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,4,1,0,1,0,0,5,3,-1,3,1517914,https://imagenes.feb.es/foto.aspx?c=1517914,1045
MOVISTAR ESTUDIANTES,11,1,J. Granger,30:18,3,0,4,0.0,0,3,0.0,0,7,0.0,3,4,75.0,0,4,4,9,1,1,0,1,0,2,3,5,9,2734234,https://imagenes.feb.es/foto.aspx?c=2734234,1818
MOVISTAR ESTUDIANTES,15,0,T. Mc Grew,12:18,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,1,2,3,2,1,1,0,0,0,2,0,-16,0,2818742,https://imagenes.feb.es/foto.aspx?c=2818742,738
MOVISTAR ESTUDIANTES,19,0,H. Lopez Barrantes,04:27,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,2,3,0,2,0,1,0,0,2,0,0,2,2032354,https://imagenes.feb.es/foto.aspx?c=2032354,267
MOVISTAR ESTUDIANTES,22,1,J. Vaulet,30:28,17,6,6,100.0,1,3,33.3,7,9,77.8,2,2,100.0,1,4,5,2,2,0,0,0,1,1,3,-1,22,2818741,https://imagenes.feb.es/foto.aspx?c=2818741,1828
MOVISTAR ESTUDIANTES,24,1,L. Nwogbo,29:58,19,7,12,58.3,0,0,0.0,7,12,58.3,5,7,71.4,3,6,9,2,3,1,2,1,5,0,8,8,31,2648543,https://imagenes.feb.es/foto.aspx?c=2648543,1798
MOVISTAR ESTUDIANTES,29,0,P. Garino Gullotta ,16:15,7,3,4,75.0,0,3,0.0,3,7,42.9,1,2,50.0,0,0,0,0,1,1,0,1,0,4,2,-11,0,2275135,https://imagenes.feb.es/foto.aspx?c=2275135,975
MOVISTAR ESTUDIANTES,51,0,O. Silverio Grullon,22:19,12,2,2,100.0,2,4,50.0,4,6,66.7,2,2,100.0,0,2,2,3,1,0,0,1,0,3,3,-6,14,2790189,https://imagenes.feb.es/foto.aspx?c=2790189,1339
