Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,Substitution In,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,HESTIA MENORCA,N. Galette,Substitution In,(HESTIA MENORCA) N. GALETTE: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,HESTIA MENORCA,S. Littleson,Substitution In,(HESTIA MENORCA) S. LITTLESON: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,HESTIA MENORCA,F. Schott,Substitution In,(HESTIA MENORCA) F. SCHOTT: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,HESTIA MENORCA,J. Lobo Martorell,Substitution In,(HESTIA MENORCA) J. LOBO MARTORELL: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Substitution In,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,HESTIA MENORCA,F. Zurbriggen,Substitution In,(HESTIA MENORCA) F. ZURBRIGGEN: Sustitución (Entra a pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:45,585,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Rebound,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: REBOTE (Rebotes: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:45,585,0,0,HESTIA MENORCA,N. Galette,3PT Missed,(HESTIA MENORCA) N. GALETTE: TIRO DE 3 FALLADO,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:36,576,0,0,HESTIA MENORCA,N. Galette,Rebound,(HESTIA MENORCA) N. GALETTE: REBOTE (Rebotes: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:36,576,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,2PT Missed,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: TIRO DE 2 FALLADO,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:26,566,0,0,PALMER BASKET MALLORCA PALMA,Rebote (Rebotes,Rebound,(PALMER BASKET MALLORCA PALMA) REBOTE (Rebotes: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:26,566,0,0,HESTIA MENORCA,J. Lobo Martorell,3PT Missed,(HESTIA MENORCA) J. LOBO MARTORELL: TIRO DE 3 FALLADO,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:15,555,0,2,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,2PT Made,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: TIRO DE 2 ANOTADO (Puntos: 2),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:15,555,0,2,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Assist,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: ASISTENCIA (Asistencias: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,09:03,543,0,2,PALMER BASKET MALLORCA PALMA,D. Sanadze,Foul,(PALMER BASKET MALLORCA PALMA) D. SANADZE: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,08:52,532,1,2,HESTIA MENORCA,F. Zurbriggen,FT Made,(HESTIA MENORCA) F. ZURBRIGGEN: TIRO DE 1 ANOTADO (Puntos: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,08:52,532,2,2,HESTIA MENORCA,F. Zurbriggen,FT Made,(HESTIA MENORCA) F. ZURBRIGGEN: TIRO DE 1 ANOTADO (Puntos: 2),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,08:52,532,2,2,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Foul,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 2,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,08:30,510,2,4,PALMER BASKET MALLORCA PALMA,D. Sanadze,2PT Made,(PALMER BASKET MALLORCA PALMA) D. SANADZE: TIRO DE 2 ANOTADO (Puntos: 2),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,08:11,491,4,4,HESTIA MENORCA,F. Schott,2PT Made,(HESTIA MENORCA) F. SCHOTT: TIRO DE 2 ANOTADO (Puntos: 2),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,08:11,491,4,4,HESTIA MENORCA,J. Lobo Martorell,Assist,(HESTIA MENORCA) J. LOBO MARTORELL: ASISTENCIA (Asistencias: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:54,474,4,4,HESTIA MENORCA,N. Galette,Foul,(HESTIA MENORCA) N. GALETTE: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:45,465,4,5,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,FT Made,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: TIRO DE 1 ANOTADO (Puntos: 1),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:45,465,4,6,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,FT Made,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: TIRO DE 1 ANOTADO (Puntos: 2),F. Schott,F. Zurbriggen,J. Lobo Martorell,N. Galette,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:45,465,4,6,HESTIA MENORCA,N. Galette,Substitution Out,(HESTIA MENORCA) N. GALETTE: Sustitución (Sale de pista),F. Schott,F. Zurbriggen,J. Lobo Martorell,S. Littleson,,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:45,465,4,6,HESTIA MENORCA,E. Vicedo Ayala,Substitution In,(HESTIA MENORCA) E. VICEDO AYALA: Sustitución (Entra a pista),E. Vicedo Ayala,F. Schott,F. Zurbriggen,J. Lobo Martorell,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:45,465,4,6,PALMER BASKET MALLORCA PALMA,D. Sanadze,Assist,(PALMER BASKET MALLORCA PALMA) D. SANADZE: ASISTENCIA (Asistencias: 1),E. Vicedo Ayala,F. Schott,F. Zurbriggen,J. Lobo Martorell,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:45,465,4,6,HESTIA MENORCA,N. Galette,Foul,(HESTIA MENORCA) N. GALETTE: FALTA Personal (Faltas: 2. Faltas de equipo: 2). Tiros libres: 2,E. Vicedo Ayala,F. Schott,F. Zurbriggen,J. Lobo Martorell,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
1,07:29,449,6,6,HESTIA MENORCA,S. Littleson,2PT Made,(HESTIA MENORCA) S. LITTLESON: TIRO DE 2 ANOTADO (Puntos: 2),E. Vicedo Ayala,F. Schott,F. Zurbriggen,J. Lobo Martorell,S. Littleson,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,N. Camacho De Sá
