Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Substitution In,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Roberts,Substitution In,(PALMER BASKET MALLORCA PALMA) J. ROBERTS: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,J. Davis,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) J. DAVIS: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,K. Webster,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) K. WEBSTER: Sustitución (Entra a pista),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:47,587,0,3,GRUPO CAESA SEGUROS FC CARTAGENA CB,K. Webster,3PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) K. WEBSTER: TIRO DE 3 ANOTADO (Puntos: 3),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:31,571,0,3,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Turnover,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: PÉRDIDA (Pérdidas: 1),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:26,566,0,6,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,3PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: TIRO DE 3 ANOTADO (Puntos: 3),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:26,566,0,6,GRUPO CAESA SEGUROS FC CARTAGENA CB,J. Davis,Assist,(GRUPO CAESA SEGUROS FC CARTAGENA CB) J. DAVIS: ASISTENCIA (Asistencias: 1),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:06,546,0,6,PALMER BASKET MALLORCA PALMA,Rebote (Rebotes,Rebound,(PALMER BASKET MALLORCA PALMA) REBOTE (Rebotes: 0),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:06,546,0,6,PALMER BASKET MALLORCA PALMA,D. Sanadze,2PT Missed,(PALMER BASKET MALLORCA PALMA) D. SANADZE: TIRO DE 2 FALLADO,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:00,540,0,6,GRUPO CAESA SEGUROS FC CARTAGENA CB,J. Davis,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) J. DAVIS: REBOTE (Rebotes: 1),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:00,540,0,6,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,2PT Missed,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 2 FALLADO,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,08:37,517,0,7,GRUPO CAESA SEGUROS FC CARTAGENA CB,K. Webster,FT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) K. WEBSTER: TIRO DE 1 ANOTADO (Puntos: 4),A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
